Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,60.0,1.0,60.0,60.0,0.1,48.010999999999974,0.0,0.0,0.005024433135986328,,,,,,,,,,,,,,,,,,,,,20.086951579921067,15.662273516768757,46.89953507582132,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,123.0,2.0,63.0,123.0,0.1,56.005999999999986,0.0,0.0,5.898181438446045,,,,,,,,,,,,,,,,,,,,,25.74470044695834,17.328278057590484,54.4930154096455,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,161.0,3.0,38.0,161.0,0.1,27.010000000000012,0.0,0.0,9.558380365371704,,,,,,,,,,,,,,,,,,,,,10.571031730637774,9.270823097043053,26.661597327293034,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,254.0,4.0,93.0,254.0,0.1,84.00800000000004,0.0,0.0,18.28448748588562,,,,,,,,,,,,,,,,,,,,,38.21972468551636,25.34166225151736,80.61471441836932,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,355.0,5.0,101.0,355.0,0.1,80.02,0.0,0.0,27.3611958026886,,,,,,,,,,,,,,,,,,,,,36.41438729229826,22.040474293420342,76.49506050943624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,411.0,6.0,56.0,411.0,0.1,43.01199999999997,0.0,0.0,32.54025912284851,,,,,,,,,,,,,,,,,,,,,17.420517043187033,14.255822171669745,42.120650225382064,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,452.0,7.0,41.0,452.0,0.1,30.010000000000012,0.0,0.0,36.530465841293335,,,,,,,,,,,,,,,,,,,,,11.961812557362457,10.201169998480582,29.578693493441534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,525.0,8.0,73.0,525.0,0.1,66.00600000000003,0.0,0.0,43.21245884895325,,,,,,,,,,,,,,,,,,,,,30.52187249307647,20.09108630951673,63.905650703762234,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,552.0,9.0,27.0,552.0,0.1,20.006000000000007,0.0,0.0,46.225571155548096,,,,,,,,,,,,,,,,,,,,,8.467132067733255,6.90632091506694,19.8170016204104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,583.0,10.0,31.0,583.0,0.1,23.00700000000001,0.0,0.0,49.31681823730469,,,,,,,,,,,,,,,,,,,,,9.577611619648408,7.889897177142427,22.755582449106665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,626.0,11.0,43.0,626.0,0.1,35.006999999999984,0.0,0.0,53.51729440689087,,,,,,,,,,,,,,,,,,,,,15.292330383212152,11.481928331948586,34.41823183896798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,662.0,12.0,36.0,662.0,0.1,28.00700000000001,0.0,0.0,57.0983202457428,,,,,,,,,,,,,,,,,,,,,11.949849762057692,9.406803309628266,27.632041860244563,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,697.0,13.0,35.0,697.0,0.1,28.006000000000007,0.0,0.0,60.559932708740234,,,,,,,,,,,,,,,,,,,,,12.290263267217338,9.31775308295952,27.631075305182463,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,729.0,14.0,32.0,729.0,0.1,22.00900000000001,0.0,0.0,64.08441662788391,,,,,,,,,,,,,,,,,,,,,8.538599429074615,7.665148952744145,21.779301642252477,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,765.0,15.0,36.0,765.0,0.1,24.011000000000013,0.0,0.0,67.55581092834473,,,,,,,,,,,,,,,,,,,,,8.937521254903936,8.34808039087558,23.7366988959164,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,799.0,16.0,34.0,799.0,0.1,25.00800000000001,0.0,0.0,70.91368269920349,,,,,,,,,,,,,,,,,,,,,10.215673062721867,8.561502710659374,24.710062530866665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,875.0,17.0,76.0,875.0,0.1,68.00700000000003,0.0,0.0,77.96396207809448,,,,,,,,,,,,,,,,,,,,,31.061288693981176,20.81399494622104,65.77783194531612,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,903.0,18.0,28.0,903.0,0.1,20.00700000000001,0.0,0.0,80.78046035766602,,,,,,,,,,,,,,,,,,,,,8.165721110157886,6.961514292335569,19.817975942825285,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,934.0,19.0,31.0,934.0,0.1,23.00700000000001,0.0,0.0,84.09526920318604,,,,,,,,,,,,,,,,,,,,,9.577611619648408,7.889897177142427,22.755582449106665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,963.0,20.0,29.0,963.0,0.1,21.00700000000001,0.0,0.0,87.0164384841919,,,,,,,,,,,,,,,,,,,,,8.635087961839186,7.272727817145507,20.79815796688246,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,44.0,1.0,44.0,1007.0,0.1,34.00899999999998,0.0,0.0,181.09130811691284,,,,,,,,,,,,,,,,,,,,,14.142535663610635,11.358320713436198,33.45360218156208,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,74.0,2.0,30.0,1037.0,0.1,21.00800000000001,0.0,0.0,184.09450578689575,,,,,,,,,,,,,,,,,,,,,8.348237330869111,7.316556796244079,20.79913034162684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,119.0,3.0,45.0,1082.0,0.1,38.005999999999986,0.0,0.0,188.4403691291809,,,,,,,,,,,,,,,,,,,,,17.099122375545797,12.237155007795106,37.31112443083769,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,231.0,4.0,112.0,1194.0,0.1,85.02600000000012,0.0,0.0,198.73451018333435,,,,,,,,,,,,,,,,,,,,,33.73522239692431,25.936513248439187,81.41039447009021,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
